Week	Organ	Shapiro p-val_boys	Shapiro p-val_girls	KS p-val_b2g	t-test p-val_b2g
24	BodyWeight	0.029016949236392975	0.07878948748111725	0.3626120545446845	0.3181206968709826
24	BodyLength	0.0006210980354808271	0.0005210013478063047	0.9823325684847116	0.3880405318761687
24	brain	0.6331586837768555	0.31784042716026306	0.30081182750407764	0.35364632135576346
24	liver	0.7148619890213013	0.9896621108055115	0.8122203047515213	0.9708557751487548
24	heart	0.17831571400165558	0.7200700640678406	0.7049125010198345	0.13011174697643405
24	lung	0.09074199199676514	0.7208266854286194	0.7049125010198345	0.5596510678839633
24	pancreas	0.025655364617705345	0.09900558739900589	0.9995056225197282	0.9799858582728989
24	thymus	0.21833844482898712	0.3706058859825134	0.8030260749458616	0.46908056776449614
24	spleen	0.3919636607170105	0.20449839532375336	0.8784252651578179	0.5321001327077421
24	kidney	0.21244728565216064	0.15285049378871918	0.9070606917851787	0.6533031920653231
25	BodyWeight	0.358578085899353	0.01647390052676201	0.837496140378081	0.1802794512670159
25	BodyLength	3.175213578288094e-06	0.00016620299720671028	0.9245619153428271	0.28863110943685416
25	brain	0.7428972721099854	0.03817024827003479	0.11788597734132145	0.24890826009343814
25	liver	0.34756729006767273	0.1776457130908966	0.886278886065108	0.6267235792194312
25	heart	0.29619336128234863	0.3867860734462738	0.9102059809339355	0.5079285657442635
25	lung	0.08906766027212143	0.8166614174842834	0.5543875165640443	0.3533247152061745
25	pancreas	0.03353220969438553	0.06379839032888412	0.9370283813027419	0.8602003277302305
25	thymus	0.5822808146476746	0.025949938222765923	0.9158787796430111	0.8730770921759714
25	spleen	0.3364598751068115	0.044532258063554764	0.06450373563312672	0.027782491797858
25	kidney	0.8600106835365295	0.005773040000349283	0.5815749723910313	0.19946936622646885
26	BodyWeight	0.2288329154253006	0.27805715799331665	0.9444848331598177	0.8085194113227692
26	BodyLength	0.0011572481598705053	0.0008450208115391433	0.9976993565737106	0.8406270935445345
26	brain	0.20682427287101746	0.07811802625656128	0.5410075107551477	0.3764507747429887
26	liver	0.5945716500282288	0.8520010113716125	0.9243894212469626	0.9253510513222793
26	heart	0.612477719783783	0.3201771080493927	0.7774717647081448	0.425152326587264
26	lung	0.7804131507873535	0.41410961747169495	0.24731065827831478	0.3424551488534088
26	pancreas	0.30243661999702454	0.05269426107406616	0.36226080486834744	0.9954254601533157
26	thymus	0.06051824986934662	0.15939350426197052	0.32067929327730793	0.6057662683038162
26	spleen	0.03298472613096237	0.08550091087818146	0.9996922603875249	0.747155489008625
26	kidney	0.8269103765487671	0.37327468395233154	0.43892750361694743	0.32284536684050813
27	BodyWeight	0.011022032238543034	0.06297945231199265	0.08354686998691896	0.008726063278859041
27	BodyLength	0.0013660442782565951	0.09226328879594803	0.5090770392189399	0.01956256836004647
27	brain	0.6462871432304382	0.9030085802078247	0.25927248260657176	0.35618723817704045
27	liver	0.31936028599739075	0.7311879992485046	0.16714979269037689	0.8490098085396784
27	heart	0.47474753856658936	0.3501255512237549	0.2769249050564706	0.04008048692582064
27	lung	0.6250850558280945	0.29674267768859863	0.005959481873830108	0.007338181827095234
27	pancreas	0.03885435685515404	0.11930043250322342	0.9980765933536623	0.6417599714508564
27	thymus	0.7370555996894836	0.5077299475669861	0.058017146844526635	0.04496573406706836
27	spleen	0.5118718147277832	0.4653424024581909	0.8468094765813254	0.41550273015567785
27	kidney	0.4767375588417053	0.7636175751686096	0.2534571789640728	0.34106875806645487
28	BodyWeight	0.6371365189552307	0.4447955787181854	0.967235582798769	0.692804637721468
28	BodyLength	0.11734054982662201	0.06525149941444397	0.9996609573353853	0.6939405712106479
28	brain	0.22655992209911346	0.056805845350027084	0.9550381806468161	0.9794771836934258
28	liver	0.8842180371284485	0.02904830314218998	0.2614444810870794	0.12193106257231386
28	heart	0.933127224445343	0.3807840943336487	0.5272204326508803	0.34227334260723397
28	lung	0.3477204740047455	0.7636299133300781	0.44990705161154965	0.5212155471142895
28	pancreas	0.24609829485416412	0.5298058390617371	0.21297753331944747	0.07122184247399355
28	thymus	0.18285496532917023	0.9897353053092957	0.424117376801047	0.12831239576650086
28	spleen	0.46973946690559387	0.11031658202409744	0.3949665029409577	0.6025245742541958
28	kidney	0.48668262362480164	0.32956650853157043	0.46592280508467576	0.09644135311050367
